date;location;description;sun;rep;distance;scene;row;mean;sd;mode;min;max;slice
11-08-15;B;blue staghorn;back;3;9;foreground;3;125,1;1,9;125;119;136;2
11-08-15;B;blue staghorn;back;3;9;background;4;123,6;1,4;124;120;133;2
11-08-15;B;blue staghorn;back;3;8;foreground;5;122,5;2,3;122;116;132;3
11-08-15;B;blue staghorn;back;3;8;background;6;120,1;1,6;120;114;126;3
11-08-15;B;blue staghorn;back;3;7;foreground;7;118,6;2,6;116;112;129;4
11-08-15;B;blue staghorn;back;3;7;background;8;114,7;1,4;115;109;120;4
11-08-15;B;blue staghorn;back;3;6;foreground;9;116,3;2,6;115;107;140;5
11-08-15;B;blue staghorn;back;3;6;background;10;113,2;1,2;113;108;120;5
11-08-15;B;blue staghorn;back;3;5;foreground;11;114,3;3,9;113;99;150;6
11-08-15;B;blue staghorn;back;3;5;background;12;112,7;1,3;113;107;117;6
11-08-15;B;blue staghorn;back;3;4;foreground;13;107,9;5,2;105;84;144;7
11-08-15;B;blue staghorn;back;3;4;background;14;108,4;1,4;108;104;124;7
11-08-15;B;blue staghorn;back;3;3;foreground;15;104,0;7,9;101;78;175;8
11-08-15;B;blue staghorn;back;3;3;background;16;108,7;1,2;109;104;114;8
11-08-15;B;blue staghorn;back;3;2;foreground;17;97,5;13,2;93;64;208;9
11-08-15;B;blue staghorn;back;3;2;background;18;107,1;1,5;107;101;118;9
11-08-15;B;blue staghorn;back;3;1;foreground;19;80,7;15,5;67;42;190;10
11-08-15;B;blue staghorn;back;3;1;background;20;97,0;2,2;97;90;108;10
11-08-15;B;brown staghorn;side;1;10;foreground;1;128,8;1,7;128;124;135;1
11-08-15;B;brown staghorn;side;1;10;background;2;128,1;1,4;128;123;134;1
11-08-15;B;brown staghorn;side;1;9;foreground;3;125,2;1,9;125;119;133;2
11-08-15;B;brown staghorn;side;1;9;background;4;123,3;1,2;123;120;130;2
11-08-15;B;brown staghorn;side;1;8;foreground;5;126,4;2,3;125;119;137;3
11-08-15;B;brown staghorn;side;1;8;background;6;121,9;1,2;122;118;136;3
11-08-15;B;brown staghorn;side;1;7;foreground;7;120,0;2,0;120;113;138;4
11-08-15;B;brown staghorn;side;1;7;background;8;119,9;1,3;120;115;126;4
11-08-15;B;brown staghorn;side;1;6;foreground;9;119,3;3,0;120;103;156;5
11-08-15;B;brown staghorn;side;1;6;background;10;120,0;1,1;120;115;123;5
11-08-15;B;brown staghorn;side;1;5;foreground;11;119,3;4,4;120;100;164;6
