Unit Serial No : 240-IM0P2868-EU
Integration Time : 50 ms
Time Average: 20
Binning Average: 0
FFT Smoothing: 0%
Project Name : ILT900W-Irradiance 
Sample Name :  ILT900W2868
Measurement No : 1
Measurement Time : 10/19/2015   13:41:17

Wavelength(nm)	Wavenumber(1/cm)	Transmittance(%)
656.0000      	15243.9024    	0.24195       
657.0000      	15220.7002    	0.17899       
658.0000      	15197.5684    	0.44866       
659.0000      	15174.5068    	0.03524       
660.0000      	15151.5152    	0.16426       
661.0000      	15128.5930    	0.35503       
662.0000      	15105.7402    	0.29541       
663.0000      	15082.9563    	0.28585       
664.0000      	15060.2410    	0.38033       
665.0000      	15037.5940    	0.34883       
666.0000      	15015.0150    	0.14735       
667.0000      	14992.5037    	0.05780       
668.0000      	14970.0599    	0.05086       
669.0000      	14947.6831    	0.26066       
670.0000      	14925.3731    	0.38165       
671.0000      	14903.1297    	0.05107       
672.0000      	14880.9524    	0.49166       
673.0000      	14858.8410    	0.31935       
674.0000      	14836.7953    	0.49277       
675.0000      	14814.8148    	0.50940       
676.0000      	14792.8994    	0.05624       
677.0000      	14771.0487    	0.05781       
678.0000      	14749.2625    	0.59691       
679.0000      	14727.5405    	0.64201       
680.0000      	14705.8824    	0.41597       
681.0000      	14684.2878    	0.16922       
682.0000      	14662.7566    	0.07198       
683.0000      	14641.2884    	0.80593       
684.0000      	14619.8830    	0.38396       
685.0000      	14598.5401    	0.07392       
686.0000      	14577.2595    	0.29762       
687.0000      	14556.0408    	0.42852       
688.0000      	14534.8837    	0.56835       
689.0000      	14513.7881    	0.96771       
690.0000      	14492.7536    	1.19354       
691.0000      	14471.7800    	1.37131       
692.0000      	14450.8671    	0.09638       
693.0000      	14430.0144    	1.01738       
694.0000      	14409.2219    	0.11750       
695.0000      	14388.4892    	0.95197       
696.0000      	14367.8161    	0.98952       
697.0000      	14347.2023    	0.46722       
698.0000      	14326.6476    	0.11841       
699.0000      	14306.1516    	0.05264       
700.0000      	14285.7143    	0.74079       
